"BehaviorSpace results (NetLogo 6.1.1)"
"final.nlogo"
"experiment"
"04/07/2020 22:46:00:161 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-50","50"
"[run number]","toa","[step]","count turtles with [ship = false and american = true]","count turtles with [ship = false and american = false]","hits_scored_by_americans","hits_scored_by_japanese","number_japanese_craft_lost","number_american_craft_lost","count turtles with [class = 0 and american = false and ship = true]","sum [hp] of turtles with [class = 0 and american = false and ship = true]","count turtles with [class = 0 and american = true and ship = true]","sum [hp] of turtles with [class = 0 and american = true and ship = true]"
"3","75","581","90","86","1","5","0","35","3","300","0","0"
"2","75","581","90","104","0","4","0","35","4","400","0","0"
"1","75","581","90","101","0","5","0","34","4","400","0","0"
"4","75","723","113","77","14","3","0","0","0","0","1","45.968594032939016"
"5","100","686","120","94","14","0","0","0","0","0","2","200"
"6","100","724","117","87","16","0","0","0","0","0","2","200"
"8","100","724","122","66","17","0","0","0","0","0","2","200"
"7","100","897","1","80","12","8","0","34","1","100","0","0"
